id,trip_id,bus_id,from_time_going,to_time_going,from_time_return,to_time_return,date_start,date_end,status,type,event
41,182,0e99fa86-c84b-47a7-b600-a20cc63e99dd,14:18:09,17:54:12,09:47:01,17:00:58,2024-03-03,2024-03-03,pending,all,stopped
42,56,5ab81378-b7ec-48f9-8747-3be551d52ad1,07:36:55,23:06:22,05:33:19,07:18:07,2024-08-08,2024-08-08,pending,all,stopped
43,73,5ab81378-b7ec-48f9-8747-3be551d52ad1,00:59:41,09:42:01,09:39:21,22:58:17,2024-08-09,2024-08-09,pending,all,stopped
44,53,5ab81378-b7ec-48f9-8747-3be551d52ad1,09:47:21,22:58:34,03:55:48,06:01:49,2024-08-10,2024-08-10,pending,all,stopped
45,81,5ab81378-b7ec-48f9-8747-3be551d52ad1,06:50:14,20:33:21,03:24:22,03:25:01,2024-08-11,2024-08-11,pending,all,stopped
46,135,5ab81378-b7ec-48f9-8747-3be551d52ad1,00:36:38,11:20:14,05:02:52,07:22:38,2024-08-12,2024-08-12,pending,all,stopped
47,178,47a49f07-237d-4c12-b587-2bad3b740fc7,04:34:11,21:53:49,12:55:13,19:37:42,2024-07-28,2024-07-28,pending,all,stopped
48,107,47a49f07-237d-4c12-b587-2bad3b740fc7,13:29:48,21:43:35,05:09:13,15:43:21,2024-07-29,2024-07-29,pending,all,stopped
49,81,47a49f07-237d-4c12-b587-2bad3b740fc7,00:28:55,13:37:55,01:36:33,20:44:27,2024-07-30,2024-07-30,pending,all,stopped
50,177,47a49f07-237d-4c12-b587-2bad3b740fc7,08:27:08,08:59:28,04:10:39,12:13:04,2024-07-31,2024-07-31,pending,all,stopped
51,105,47a49f07-237d-4c12-b587-2bad3b740fc7,05:22:58,18:30:25,20:24:30,22:27:35,2024-08-01,2024-08-01,pending,all,stopped
52,45,c7d7be95-a80b-477a-8a80-5590bc8e8d48,10:13:00,10:33:36,01:36:11,22:40:42,2024-07-21,2024-07-21,pending,all,stopped
53,182,c7d7be95-a80b-477a-8a80-5590bc8e8d48,01:37:18,15:19:48,01:57:20,12:55:02,2024-07-22,2024-07-22,pending,all,stopped
54,184,c7d7be95-a80b-477a-8a80-5590bc8e8d48,01:34:13,15:03:23,07:06:14,19:48:36,2024-07-23,2024-07-23,pending,all,stopped
55,50,c7d7be95-a80b-477a-8a80-5590bc8e8d48,21:34:48,23:41:53,07:45:08,18:37:18,2024-07-24,2024-07-24,pending,all,stopped
56,71,c7d7be95-a80b-477a-8a80-5590bc8e8d48,12:31:05,13:12:49,10:30:15,19:27:01,2024-07-25,2024-07-25,pending,all,stopped
57,8,0c21c4f3-5b8a-4c77-8333-6e49a3f43401,16:15:52,21:31:14,00:58:37,17:46:34,2023-11-04,2023-11-04,pending,all,stopped
58,100,0c21c4f3-5b8a-4c77-8333-6e49a3f43401,19:03:38,23:48:48,11:01:13,11:57:03,2023-11-05,2023-11-05,pending,all,stopped
59,91,0c21c4f3-5b8a-4c77-8333-6e49a3f43401,01:09:46,17:50:09,04:21:43,21:37:55,2023-11-06,2023-11-06,pending,all,stopped
60,178,0c21c4f3-5b8a-4c77-8333-6e49a3f43401,12:12:04,15:02:24,09:13:04,20:23:30,2023-11-07,2023-11-07,pending,all,stopped
61,161,0c21c4f3-5b8a-4c77-8333-6e49a3f43401,00:22:09,13:53:46,11:20:36,15:56:26,2023-11-08,2023-11-08,pending,all,stopped
62,98,5e0efb33-c310-4eaa-bb03-349cb280366b,00:16:01,05:22:54,07:13:13,21:52:44,2024-01-28,2024-01-28,pending,all,stopped
63,57,5e0efb33-c310-4eaa-bb03-349cb280366b,13:39:21,17:12:37,06:23:55,14:55:13,2024-01-29,2024-01-29,pending,all,stopped
64,152,5e0efb33-c310-4eaa-bb03-349cb280366b,03:36:23,19:05:46,02:01:26,07:19:24,2024-01-30,2024-01-30,pending,all,stopped
65,199,5e0efb33-c310-4eaa-bb03-349cb280366b,05:43:48,19:43:19,00:06:49,13:10:40,2024-01-31,2024-01-31,pending,all,stopped
66,37,5e0efb33-c310-4eaa-bb03-349cb280366b,03:29:44,07:01:14,13:02:07,23:27:54,2024-02-01,2024-02-01,pending,all,stopped
67,162,94b43784-675c-44f7-b363-4074c689ca28,04:50:28,16:09:27,02:55:41,05:40:34,2024-01-05,2024-01-05,pending,all,stopped
68,112,94b43784-675c-44f7-b363-4074c689ca28,22:10:31,22:16:58,17:32:23,23:55:25,2024-01-06,2024-01-06,pending,all,stopped
69,30,94b43784-675c-44f7-b363-4074c689ca28,12:51:53,16:03:04,07:05:49,18:01:56,2024-01-07,2024-01-07,pending,all,stopped
70,148,94b43784-675c-44f7-b363-4074c689ca28,04:28:13,22:32:51,05:23:12,11:01:08,2024-01-08,2024-01-08,pending,all,stopped
71,62,94b43784-675c-44f7-b363-4074c689ca28,04:28:55,22:19:29,02:14:10,21:27:53,2024-01-09,2024-01-09,pending,all,stopped
72,122,f78ff5e6-6f32-4a0e-9fb2-0ba91cf70f47,02:39:28,10:24:43,08:14:00,09:42:59,2024-02-27,2024-02-27,pending,all,stopped
73,48,f78ff5e6-6f32-4a0e-9fb2-0ba91cf70f47,05:15:34,08:43:47,16:50:31,17:30:33,2024-02-28,2024-02-28,pending,all,stopped
74,77,f78ff5e6-6f32-4a0e-9fb2-0ba91cf70f47,05:14:09,06:17:26,19:16:25,22:39:10,2024-02-29,2024-02-29,pending,all,stopped
75,173,f78ff5e6-6f32-4a0e-9fb2-0ba91cf70f47,23:14:40,23:26:32,14:03:56,22:32:48,2024-03-01,2024-03-01,pending,all,stopped
76,85,f78ff5e6-6f32-4a0e-9fb2-0ba91cf70f47,00:51:41,06:22:29,12:18:33,14:38:25,2024-03-02,2024-03-02,pending,all,stopped
77,44,7d1cd76e-6cd0-479a-a97a-43d0bea5eb1d,01:15:52,08:28:45,21:45:00,21:48:51,2023-12-16,2023-12-16,pending,all,stopped
78,13,7d1cd76e-6cd0-479a-a97a-43d0bea5eb1d,05:52:36,18:17:54,01:46:54,12:40:15,2023-12-17,2023-12-17,pending,all,stopped
79,191,7d1cd76e-6cd0-479a-a97a-43d0bea5eb1d,13:52:15,20:11:17,04:01:46,22:07:33,2023-12-18,2023-12-18,pending,all,stopped
80,68,7d1cd76e-6cd0-479a-a97a-43d0bea5eb1d,01:10:43,18:10:28,00:10:26,01:34:25,2023-12-19,2023-12-19,pending,all,stopped
81,50,7d1cd76e-6cd0-479a-a97a-43d0bea5eb1d,08:26:59,08:45:07,04:33:56,17:43:40,2023-12-20,2023-12-20,pending,all,stopped
82,56,a459f08e-1454-4373-aa8c-dc5c2f93a5f9,02:52:21,03:03:22,01:43:46,20:14:45,2024-09-05,2024-09-05,pending,all,stopped
83,45,a459f08e-1454-4373-aa8c-dc5c2f93a5f9,07:45:29,21:02:43,00:44:26,18:48:46,2024-09-06,2024-09-06,pending,all,stopped
84,147,a459f08e-1454-4373-aa8c-dc5c2f93a5f9,00:00:24,00:49:33,15:41:50,23:42:28,2024-09-07,2024-09-07,pending,all,stopped
85,162,a459f08e-1454-4373-aa8c-dc5c2f93a5f9,06:41:50,13:12:56,02:24:34,23:24:21,2024-09-08,2024-09-08,pending,all,stopped
86,60,a459f08e-1454-4373-aa8c-dc5c2f93a5f9,01:22:15,10:25:59,00:40:53,10:14:55,2024-09-09,2024-09-09,pending,all,stopped
87,25,02d1e675-a211-42d5-8393-ab85c90ce511,06:00:09,16:05:08,01:01:22,08:40:09,2024-07-29,2024-07-29,pending,all,stopped
88,108,02d1e675-a211-42d5-8393-ab85c90ce511,02:11:04,10:14:32,15:07:45,19:31:58,2024-07-30,2024-07-30,pending,all,stopped
89,157,02d1e675-a211-42d5-8393-ab85c90ce511,05:22:34,07:17:10,08:22:32,09:28:00,2024-07-31,2024-07-31,pending,all,stopped
90,55,02d1e675-a211-42d5-8393-ab85c90ce511,14:46:48,23:41:35,00:04:54,23:32:30,2024-08-01,2024-08-01,pending,all,stopped
91,159,02d1e675-a211-42d5-8393-ab85c90ce511,05:30:36,07:53:31,05:30:29,17:08:02,2024-08-02,2024-08-02,pending,all,stopped
92,47,08431fef-5189-455f-870a-92ff4f9cb7fd,02:02:09,20:45:35,01:04:18,01:16:27,2024-04-24,2024-04-24,pending,all,stopped
93,84,08431fef-5189-455f-870a-92ff4f9cb7fd,12:51:02,17:24:00,19:44:28,20:57:54,2024-04-25,2024-04-25,pending,all,stopped
94,55,08431fef-5189-455f-870a-92ff4f9cb7fd,07:11:14,19:52:56,00:21:53,12:06:48,2024-04-26,2024-04-26,pending,all,stopped
95,186,08431fef-5189-455f-870a-92ff4f9cb7fd,08:45:17,14:07:10,00:43:26,07:37:57,2024-04-27,2024-04-27,pending,all,stopped
96,151,08431fef-5189-455f-870a-92ff4f9cb7fd,05:28:37,18:16:16,06:07:02,12:01:30,2024-04-28,2024-04-28,pending,all,stopped
97,79,fbf5caab-0f26-40fc-b190-01d836474e81,08:57:53,16:51:16,15:46:49,19:56:15,2024-02-26,2024-02-26,pending,all,stopped
98,30,fbf5caab-0f26-40fc-b190-01d836474e81,16:41:34,23:27:16,12:40:04,15:30:00,2024-02-27,2024-02-27,pending,all,stopped
99,37,fbf5caab-0f26-40fc-b190-01d836474e81,03:51:17,08:10:36,03:46:43,05:47:14,2024-02-28,2024-02-28,pending,all,stopped
100,55,fbf5caab-0f26-40fc-b190-01d836474e81,17:31:02,22:49:59,06:30:41,15:49:14,2024-02-29,2024-02-29,pending,all,stopped
101,81,fbf5caab-0f26-40fc-b190-01d836474e81,17:16:29,20:10:03,00:29:45,14:09:23,2024-03-01,2024-03-01,pending,all,stopped
102,192,edb9fb89-e011-42d7-8032-708303db776a,10:57:09,23:20:24,13:38:49,14:23:01,2023-11-20,2023-11-20,pending,all,stopped
103,183,edb9fb89-e011-42d7-8032-708303db776a,22:02:17,22:55:28,09:11:10,15:37:07,2023-11-21,2023-11-21,pending,all,stopped
104,92,edb9fb89-e011-42d7-8032-708303db776a,12:24:58,22:30:31,09:44:29,18:09:09,2023-11-22,2023-11-22,pending,all,stopped
105,104,edb9fb89-e011-42d7-8032-708303db776a,09:44:36,12:16:18,13:29:20,19:46:06,2023-11-23,2023-11-23,pending,all,stopped
106,53,edb9fb89-e011-42d7-8032-708303db776a,12:15:55,19:37:01,20:07:14,20:27:21,2023-11-24,2023-11-24,pending,all,stopped
107,131,48b6b3e8-a6f9-4da4-b437-a1c83cc8fe8b,03:57:10,12:34:49,07:57:30,14:10:14,2024-04-30,2024-04-30,pending,all,stopped
108,27,48b6b3e8-a6f9-4da4-b437-a1c83cc8fe8b,09:41:01,15:56:47,08:28:55,18:42:35,2024-05-01,2024-05-01,pending,all,stopped
109,29,48b6b3e8-a6f9-4da4-b437-a1c83cc8fe8b,00:21:21,16:34:49,00:14:41,19:52:13,2024-05-02,2024-05-02,pending,all,stopped
110,178,48b6b3e8-a6f9-4da4-b437-a1c83cc8fe8b,06:56:46,14:32:21,05:13:52,15:45:43,2024-05-03,2024-05-03,pending,all,stopped
111,113,48b6b3e8-a6f9-4da4-b437-a1c83cc8fe8b,10:31:47,14:37:34,12:16:57,17:23:06,2024-05-04,2024-05-04,pending,all,stopped
112,65,796a2721-e3ef-40f3-a59c-baf42ce10089,02:10:29,14:28:00,13:00:33,23:50:22,2024-09-21,2024-09-21,pending,all,stopped
113,155,796a2721-e3ef-40f3-a59c-baf42ce10089,18:23:03,21:13:31,09:17:02,10:04:09,2024-09-22,2024-09-22,pending,all,stopped
114,70,796a2721-e3ef-40f3-a59c-baf42ce10089,01:46:23,12:01:59,07:40:25,17:25:17,2024-09-23,2024-09-23,pending,all,stopped
115,31,796a2721-e3ef-40f3-a59c-baf42ce10089,00:39:52,01:39:41,02:03:32,11:17:55,2024-09-24,2024-09-24,pending,all,stopped
116,138,796a2721-e3ef-40f3-a59c-baf42ce10089,01:46:48,15:37:28,08:01:51,13:13:00,2024-09-25,2024-09-25,pending,all,stopped
117,187,dc0e4034-d876-44af-b3b3-df4439b0f499,08:18:27,14:29:39,13:49:42,22:30:43,2024-04-11,2024-04-11,pending,all,stopped
118,178,dc0e4034-d876-44af-b3b3-df4439b0f499,04:45:54,21:26:04,07:50:50,08:08:27,2024-04-12,2024-04-12,pending,all,stopped
119,75,dc0e4034-d876-44af-b3b3-df4439b0f499,00:34:15,23:27:40,08:31:35,21:55:40,2024-04-13,2024-04-13,pending,all,stopped
120,22,dc0e4034-d876-44af-b3b3-df4439b0f499,06:56:32,07:28:23,04:12:39,12:50:59,2024-04-14,2024-04-14,pending,all,stopped
121,180,dc0e4034-d876-44af-b3b3-df4439b0f499,13:00:13,17:50:26,07:24:30,14:16:05,2024-04-15,2024-04-15,pending,all,stopped
122,150,690885cd-f9be-4c86-8d42-716bcc81fc27,12:13:40,12:58:36,13:44:11,17:17:02,2024-09-20,2024-09-20,pending,all,stopped
123,21,690885cd-f9be-4c86-8d42-716bcc81fc27,18:08:39,21:18:34,08:33:17,11:32:30,2024-09-21,2024-09-21,pending,all,stopped
124,88,690885cd-f9be-4c86-8d42-716bcc81fc27,05:06:02,23:46:21,15:05:51,15:31:27,2024-09-22,2024-09-22,pending,all,stopped
125,174,690885cd-f9be-4c86-8d42-716bcc81fc27,12:49:16,16:58:21,11:31:18,16:41:36,2024-09-23,2024-09-23,pending,all,stopped
126,177,690885cd-f9be-4c86-8d42-716bcc81fc27,00:30:25,20:21:26,04:00:44,15:34:31,2024-09-24,2024-09-24,pending,all,stopped
127,42,4c3e838f-c6cb-4985-a7dc-8fb3200f53bf,04:01:42,06:17:00,19:55:25,21:12:47,2024-03-11,2024-03-11,pending,all,stopped
128,156,4c3e838f-c6cb-4985-a7dc-8fb3200f53bf,03:17:32,16:32:32,13:38:36,20:47:47,2024-03-12,2024-03-12,pending,all,stopped
129,163,4c3e838f-c6cb-4985-a7dc-8fb3200f53bf,18:16:11,22:50:21,15:16:10,23:51:02,2024-03-13,2024-03-13,pending,all,stopped
130,195,4c3e838f-c6cb-4985-a7dc-8fb3200f53bf,04:51:10,16:33:30,04:26:25,18:33:18,2024-03-14,2024-03-14,pending,all,stopped
131,187,4c3e838f-c6cb-4985-a7dc-8fb3200f53bf,23:30:32,23:42:00,08:29:32,20:49:10,2024-03-15,2024-03-15,pending,all,stopped
132,158,9deedd0c-c455-468c-b688-1cfb7e567bf4,08:26:14,16:54:13,18:49:55,20:12:04,2024-09-11,2024-09-11,pending,all,stopped
133,61,9deedd0c-c455-468c-b688-1cfb7e567bf4,22:08:00,22:38:56,04:06:58,22:55:50,2024-09-12,2024-09-12,pending,all,stopped
134,139,9deedd0c-c455-468c-b688-1cfb7e567bf4,17:01:53,19:58:40,05:43:41,23:11:29,2024-09-13,2024-09-13,pending,all,stopped
135,150,9deedd0c-c455-468c-b688-1cfb7e567bf4,16:17:26,19:20:27,00:20:39,12:18:57,2024-09-14,2024-09-14,pending,all,stopped
136,163,9deedd0c-c455-468c-b688-1cfb7e567bf4,01:09:43,19:45:48,02:02:03,13:40:31,2024-09-15,2024-09-15,pending,all,stopped
137,7,36185008-3f07-4e98-809f-645977add64d,02:05:32,18:02:13,07:40:39,13:13:49,2024-03-23,2024-03-23,pending,all,stopped
138,117,36185008-3f07-4e98-809f-645977add64d,18:26:35,19:33:53,05:18:02,05:33:57,2024-03-24,2024-03-24,pending,all,stopped
139,6,36185008-3f07-4e98-809f-645977add64d,19:29:07,21:58:44,00:12:46,05:52:41,2024-03-25,2024-03-25,pending,all,stopped
140,14,36185008-3f07-4e98-809f-645977add64d,01:23:48,23:34:52,08:03:53,14:12:23,2024-03-26,2024-03-26,pending,all,stopped
141,100,36185008-3f07-4e98-809f-645977add64d,07:59:04,23:00:05,10:03:56,10:25:27,2024-03-27,2024-03-27,pending,all,stopped
142,43,7c9496c2-043c-4b45-94c2-2bbd1cd4ae86,02:15:37,22:34:41,10:46:22,21:25:19,2023-11-23,2023-11-23,pending,all,stopped
143,98,7c9496c2-043c-4b45-94c2-2bbd1cd4ae86,15:19:04,21:04:55,04:38:30,09:46:56,2023-11-24,2023-11-24,pending,all,stopped
144,144,7c9496c2-043c-4b45-94c2-2bbd1cd4ae86,09:09:38,23:20:27,01:03:06,09:35:29,2023-11-25,2023-11-25,pending,all,stopped
145,118,7c9496c2-043c-4b45-94c2-2bbd1cd4ae86,11:49:53,12:17:49,15:08:06,15:17:31,2023-11-26,2023-11-26,pending,all,stopped
146,170,7c9496c2-043c-4b45-94c2-2bbd1cd4ae86,02:45:50,04:14:17,17:18:33,23:03:35,2023-11-27,2023-11-27,pending,all,stopped
147,182,4e8a051e-0098-4bbd-a7f6-81838fa4ffa7,11:19:18,16:43:47,04:06:35,04:30:27,2024-06-02,2024-06-02,pending,all,stopped
148,49,4e8a051e-0098-4bbd-a7f6-81838fa4ffa7,01:02:06,16:56:28,00:29:03,10:09:20,2024-06-03,2024-06-03,pending,all,stopped
149,200,4e8a051e-0098-4bbd-a7f6-81838fa4ffa7,01:54:34,15:34:06,00:36:46,21:30:59,2024-06-04,2024-06-04,pending,all,stopped
150,124,4e8a051e-0098-4bbd-a7f6-81838fa4ffa7,00:26:22,22:42:45,03:04:59,03:50:11,2024-06-05,2024-06-05,pending,all,stopped
151,37,4e8a051e-0098-4bbd-a7f6-81838fa4ffa7,05:04:35,11:47:58,08:25:12,13:02:01,2024-06-06,2024-06-06,pending,all,stopped
152,147,43e89609-4d9c-4243-8731-e784c1d39da4,10:29:20,18:36:36,12:32:55,19:29:43,2024-08-22,2024-08-22,pending,all,stopped
153,47,43e89609-4d9c-4243-8731-e784c1d39da4,01:52:25,09:01:03,03:59:30,07:00:19,2024-08-23,2024-08-23,pending,all,stopped
154,145,43e89609-4d9c-4243-8731-e784c1d39da4,12:20:42,12:59:43,00:08:55,04:28:11,2024-08-24,2024-08-24,pending,all,stopped
155,37,43e89609-4d9c-4243-8731-e784c1d39da4,13:19:34,18:20:27,02:54:16,19:59:46,2024-08-25,2024-08-25,pending,all,stopped
156,64,43e89609-4d9c-4243-8731-e784c1d39da4,09:33:27,12:17:45,06:37:51,12:43:48,2024-08-26,2024-08-26,pending,all,stopped
157,18,f47f5c02-5963-40df-9ea8-31e54aebed09,06:09:09,21:39:14,02:32:58,05:45:24,2024-03-13,2024-03-13,pending,all,stopped
158,65,f47f5c02-5963-40df-9ea8-31e54aebed09,01:45:12,01:55:10,19:03:55,20:48:00,2024-03-14,2024-03-14,pending,all,stopped
159,193,f47f5c02-5963-40df-9ea8-31e54aebed09,10:34:28,13:15:32,11:09:09,21:51:52,2024-03-15,2024-03-15,pending,all,stopped
160,21,f47f5c02-5963-40df-9ea8-31e54aebed09,19:11:20,20:46:32,17:09:21,23:32:41,2024-03-16,2024-03-16,pending,all,stopped
161,55,f47f5c02-5963-40df-9ea8-31e54aebed09,22:37:33,23:27:45,10:54:27,12:17:00,2024-03-17,2024-03-17,pending,all,stopped
162,43,ccc6ba85-8796-410c-b65d-29897dbf11de,06:42:32,07:31:06,09:12:14,19:46:36,2023-12-16,2023-12-16,pending,all,stopped
163,43,ccc6ba85-8796-410c-b65d-29897dbf11de,02:28:09,12:51:12,00:35:34,10:12:43,2023-12-17,2023-12-17,pending,all,stopped
164,7,ccc6ba85-8796-410c-b65d-29897dbf11de,11:18:55,17:00:49,09:29:44,20:42:29,2023-12-18,2023-12-18,pending,all,stopped
165,64,ccc6ba85-8796-410c-b65d-29897dbf11de,00:46:53,01:43:19,08:55:40,13:15:15,2023-12-19,2023-12-19,pending,all,stopped
166,18,ccc6ba85-8796-410c-b65d-29897dbf11de,09:52:13,19:03:48,03:19:36,20:23:02,2023-12-20,2023-12-20,pending,all,stopped
167,38,11637ca4-6337-45b9-903b-42e9d4fcbf32,09:47:49,11:39:46,06:15:37,09:48:18,2024-01-05,2024-01-05,pending,all,stopped
168,59,11637ca4-6337-45b9-903b-42e9d4fcbf32,00:02:40,06:04:43,12:35:57,17:12:37,2024-01-06,2024-01-06,pending,all,stopped
169,38,11637ca4-6337-45b9-903b-42e9d4fcbf32,03:59:34,14:10:38,03:13:49,08:59:52,2024-01-07,2024-01-07,pending,all,stopped
170,136,11637ca4-6337-45b9-903b-42e9d4fcbf32,11:11:21,20:08:01,14:36:46,17:11:30,2024-01-08,2024-01-08,pending,all,stopped
171,75,11637ca4-6337-45b9-903b-42e9d4fcbf32,00:59:21,06:14:53,01:29:59,06:32:27,2024-01-09,2024-01-09,pending,all,stopped
172,161,5f588882-569b-41d9-96da-29204b491a58,09:26:37,10:16:25,15:34:34,22:38:59,2024-09-05,2024-09-05,pending,all,stopped
173,57,5f588882-569b-41d9-96da-29204b491a58,10:15:54,18:38:29,00:29:20,17:46:45,2024-09-06,2024-09-06,pending,all,stopped
174,189,5f588882-569b-41d9-96da-29204b491a58,02:03:09,16:09:55,05:27:27,13:23:28,2024-09-07,2024-09-07,pending,all,stopped
175,105,5f588882-569b-41d9-96da-29204b491a58,09:23:31,21:22:15,22:27:56,22:59:59,2024-09-08,2024-09-08,pending,all,stopped
176,51,5f588882-569b-41d9-96da-29204b491a58,11:18:28,14:39:36,18:57:18,23:05:59,2024-09-09,2024-09-09,pending,all,stopped
177,69,60073349-2f53-491c-b111-0426f3595893,01:11:29,18:29:17,00:30:29,02:18:53,2024-01-15,2024-01-15,pending,all,stopped
178,18,60073349-2f53-491c-b111-0426f3595893,00:27:52,08:33:44,10:44:29,11:50:44,2024-01-16,2024-01-16,pending,all,stopped
179,108,60073349-2f53-491c-b111-0426f3595893,04:07:15,13:10:46,02:26:30,06:38:44,2024-01-17,2024-01-17,pending,all,stopped
180,98,60073349-2f53-491c-b111-0426f3595893,03:14:23,07:45:27,12:26:22,15:36:01,2024-01-18,2024-01-18,pending,all,stopped
