id,company_id,Brand,number_bus,number_passenger,status,purchase_date,purchase_price,lifespan_years,bus_consumption,fuel_consumption
668f5cd9-f405-4cfb-adfc-87445d3e2293,b7d22008-1a17-452d-a360-de5bbdbd773f,Barrera Ltd,B05964,30,available,2021-02-11,68591,7,9,10
98a23cab-1105-49fe-8833-33a0bec9cc04,b7d22008-1a17-452d-a360-de5bbdbd773f,"Green, Allen and Watkins",N01451,30,available,2024-06-21,76917,9,5,9
ad801a8b-5928-4360-85bd-005251ae4570,b7d22008-1a17-452d-a360-de5bbdbd773f,"Parker, Dyer and Sparks",H81443,30,available,2024-09-22,68665,6,5,8
c3f80fe9-5259-4f10-ae49-8d87404ab210,b7d22008-1a17-452d-a360-de5bbdbd773f,Everett Ltd,P22763,30,available,2023-02-12,35367,7,9,8
8e218c61-6805-4f78-b153-2d2ca586d4a6,b7d22008-1a17-452d-a360-de5bbdbd773f,Carr-Preston,N31273,30,available,2024-06-04,53988,10,7,8
6f974388-296e-4aaf-80a2-49c584341652,b7d22008-1a17-452d-a360-de5bbdbd773f,Baxter and Sons,N53083,30,available,2019-10-12,30703,9,8,10
57e50a9e-9a98-446e-956e-51c482fcacd7,b7d22008-1a17-452d-a360-de5bbdbd773f,Stein Group,T86423,30,available,2022-02-24,65826,7,6,6
0dfa7f95-8f81-4385-a735-1cce82002ff9,b7d22008-1a17-452d-a360-de5bbdbd773f,"Martin, Hernandez and Mathis",B84486,30,available,2024-04-15,25051,7,7,10
7b9c62a5-4953-4c54-beda-cd7cb7cfff94,b7d22008-1a17-452d-a360-de5bbdbd773f,Reynolds-Turner,F60170,30,available,2024-07-18,29581,10,6,9
7ba09036-699e-4e6f-ba69-d752abc9a093,b7d22008-1a17-452d-a360-de5bbdbd773f,"Sellers, Taylor and Hudson",Y24743,30,available,2022-11-14,90149,10,6,9
937d8582-bef2-4301-894f-a09992ec6a00,b7d22008-1a17-452d-a360-de5bbdbd773f,"Morgan, Norton and Freeman",G80033,30,available,2019-12-13,88363,8,10,5
9449af5a-4379-4187-8ceb-c7f160691c4e,b7d22008-1a17-452d-a360-de5bbdbd773f,Newton-Thompson,Z18603,30,available,2021-12-11,56883,10,7,9
bc2b2f4f-8c52-4c7c-b4a5-d6b91d3cbf5d,b7d22008-1a17-452d-a360-de5bbdbd773f,Stein and Sons,R58010,30,available,2020-04-05,10182,10,10,6
af1afabd-3fbb-4d48-95db-996af5a3d381,b7d22008-1a17-452d-a360-de5bbdbd773f,"Kemp, Simon and Gross",J21181,30,available,2020-01-13,44128,10,5,10
73ea6b26-48d2-45c4-ab11-839ea2937db1,b7d22008-1a17-452d-a360-de5bbdbd773f,"Crawford, Young and Hawkins",I56059,30,available,2021-10-11,14260,5,6,8
dabde94a-b9d9-4ea5-ac05-41093361d64a,b7d22008-1a17-452d-a360-de5bbdbd773f,Bass-Jones,D33341,30,available,2022-11-29,97835,7,7,8
73996322-64c4-4987-beda-c148cb986aa0,b7d22008-1a17-452d-a360-de5bbdbd773f,Johnson-Bishop,Y89136,30,available,2020-01-16,30098,7,9,9
7f7cbf14-b268-4fcd-b6a5-15e29e5685cd,b7d22008-1a17-452d-a360-de5bbdbd773f,Ramos Inc,U01440,30,available,2024-04-04,29805,6,7,5
431ca89d-620c-45ab-bb4e-f9a4cf98afd5,b7d22008-1a17-452d-a360-de5bbdbd773f,Hernandez Inc,U92597,30,available,2019-11-01,11114,8,6,9
fe2bffc1-76f7-4205-a058-96414f0ed792,b7d22008-1a17-452d-a360-de5bbdbd773f,Cook-Elliott,I47876,30,available,2022-12-27,84935,7,5,9
f93f3fff-3ab7-4396-9d52-01773719ad11,b7d22008-1a17-452d-a360-de5bbdbd773f,Carter-Long,N16108,30,available,2022-07-13,92164,5,7,9
579abee3-d6ec-40b6-8bea-c8cc755e089a,b7d22008-1a17-452d-a360-de5bbdbd773f,"Sullivan, Brewer and Walker",P69294,30,available,2020-07-02,93017,7,6,7
e1ba34a9-5ae2-4956-ae1f-2f69bb458641,b7d22008-1a17-452d-a360-de5bbdbd773f,Lane PLC,R67714,30,available,2023-07-05,50115,7,10,9
47c2013a-f95e-4b3b-8e2a-f50fdec7c6ad,b7d22008-1a17-452d-a360-de5bbdbd773f,Schmidt Ltd,I62903,30,available,2021-05-02,28809,6,7,6
d363050b-c8fa-4283-97ac-b6b9a42e9155,b7d22008-1a17-452d-a360-de5bbdbd773f,"Bowman, Meadows and Anderson",D85574,30,available,2022-11-09,44214,10,10,6
1b7ee9f9-a7cd-4846-aebf-c907419de0cd,b7d22008-1a17-452d-a360-de5bbdbd773f,Anthony PLC,F37126,30,available,2022-12-07,26652,5,9,6
3006a498-15aa-416c-8202-6cc3843dddc2,b7d22008-1a17-452d-a360-de5bbdbd773f,"Roberts, Miller and Ramirez",N28885,30,available,2021-10-04,56682,5,10,5
b50b379d-9cc9-4c94-80d3-a60acede8c1b,b7d22008-1a17-452d-a360-de5bbdbd773f,"Estrada, Hernandez and Morales",F97551,30,available,2023-05-26,89958,8,8,9
5a3289c5-0dbc-4696-b9bb-976cb86d3f5a,b7d22008-1a17-452d-a360-de5bbdbd773f,Jackson-Webb,M56992,30,available,2021-09-13,50757,5,5,8
7fa35575-4c1b-4833-bd67-a28d2eebed3e,b7d22008-1a17-452d-a360-de5bbdbd773f,"Wells, Nichols and Hill",J89879,30,available,2024-07-02,10883,10,6,10
eadf1142-ed55-42d9-b166-ac4e1c6eb861,b7d22008-1a17-452d-a360-de5bbdbd773f,"Thomas, Robles and Garcia",W72002,30,available,2023-09-03,36603,9,7,10
4072aeef-d0e8-4105-8d07-d1c00dfda3cf,b7d22008-1a17-452d-a360-de5bbdbd773f,Cooper-Mills,N08626,30,available,2023-12-22,40696,8,8,6
b86c53b0-8df1-4b6d-a5b1-799425bcf9fd,b7d22008-1a17-452d-a360-de5bbdbd773f,Stevenson-Silva,X11708,30,available,2020-12-03,36007,10,10,9
9c70ba11-a192-4bc7-ba9c-9f10a79b922d,b7d22008-1a17-452d-a360-de5bbdbd773f,Norton-Anderson,K93175,30,available,2022-08-07,94021,7,7,8
9e9051fa-a41a-4b40-bdb9-2af1777b9a65,b7d22008-1a17-452d-a360-de5bbdbd773f,Johnson PLC,X49794,30,available,2023-12-19,47526,10,10,6
2f918fc7-88b0-4d42-a047-a6bd941722f0,b7d22008-1a17-452d-a360-de5bbdbd773f,Goodwin-Porter,V39229,30,available,2021-09-10,77168,7,8,8
e72573ed-15df-4252-8c03-afe4bd2c987f,b7d22008-1a17-452d-a360-de5bbdbd773f,Manning and Sons,P87403,30,available,2021-12-14,58464,8,6,6
4c5126ce-f70a-445f-8a38-643fa70b2624,b7d22008-1a17-452d-a360-de5bbdbd773f,Orr and Sons,C75752,30,available,2024-09-03,82028,7,9,6
4d167d7f-a756-4ad2-bb61-e405682f94c2,b7d22008-1a17-452d-a360-de5bbdbd773f,"Park, Watson and Campbell",C24776,30,available,2022-11-28,22003,10,8,8
91b79510-ae85-453e-88d9-04d798464b92,b7d22008-1a17-452d-a360-de5bbdbd773f,Carlson PLC,F16582,30,available,2023-09-08,85955,8,8,10
266137b4-1350-41ee-abf1-cf79522d8d6a,b7d22008-1a17-452d-a360-de5bbdbd773f,"Herrera, Barker and Gomez",Q47882,30,available,2022-08-05,37899,7,8,8
c6fd652d-1df1-4c59-b3c1-56591bdc5e5c,b7d22008-1a17-452d-a360-de5bbdbd773f,Castro PLC,H76869,30,available,2020-09-13,59422,5,6,8
17f98c57-ff2a-4c24-a592-3a139b41d928,b7d22008-1a17-452d-a360-de5bbdbd773f,"Brown, Flowers and Wilson",D66267,30,available,2022-08-14,61703,8,9,10
7f3622a8-d349-4df6-8427-54844168c93b,b7d22008-1a17-452d-a360-de5bbdbd773f,"Strong, Shelton and Yates",R78027,30,available,2022-04-18,86287,9,9,7
4135d105-14bf-4ccb-932e-16f77df8d607,b7d22008-1a17-452d-a360-de5bbdbd773f,"Jones, Snow and Martin",V31367,30,available,2021-04-19,64142,8,9,6
2a32b8fe-9a43-405a-9d75-3defb343e91e,b7d22008-1a17-452d-a360-de5bbdbd773f,Doyle-Beltran,X75650,30,available,2022-08-27,69420,9,5,10
e82620cb-b257-4bf6-8d64-e6c940af2ed3,b7d22008-1a17-452d-a360-de5bbdbd773f,Jensen and Sons,L39271,30,available,2024-07-18,90468,10,6,7
2329c9e4-d508-43b3-854b-0a32b007a549,b7d22008-1a17-452d-a360-de5bbdbd773f,Curtis PLC,Q89045,30,available,2022-08-01,89303,7,8,5
1d413caf-1a17-4645-9db4-114eb95ccb37,b7d22008-1a17-452d-a360-de5bbdbd773f,Herring PLC,Y46922,30,available,2022-03-20,60834,6,8,8
31d76924-1e46-41fe-973a-5ec71b6c7295,b7d22008-1a17-452d-a360-de5bbdbd773f,"Mcintosh, Jackson and Deleon",B23253,30,available,2023-12-07,69091,10,5,6
e94ba430-e975-4b1d-9596-f628f06143aa,b7d22008-1a17-452d-a360-de5bbdbd773f,Price Ltd,X48540,30,available,2023-08-11,31865,7,5,10
0c6f76a1-d4a8-4389-9e8d-623f6820c430,b7d22008-1a17-452d-a360-de5bbdbd773f,Johnson-White,V64785,30,available,2020-09-12,39147,9,5,6
be9ca820-1457-4579-84a8-342f40080716,b7d22008-1a17-452d-a360-de5bbdbd773f,Evans-Lee,P42679,30,available,2022-05-06,52883,7,10,7
e3b5d145-295d-4e56-8bd5-1d8e87f19464,b7d22008-1a17-452d-a360-de5bbdbd773f,Clark-Snyder,T13274,30,available,2022-10-16,70075,9,9,5
bfcf0fca-6d34-4fe0-adff-13d3b5d75362,b7d22008-1a17-452d-a360-de5bbdbd773f,"Barker, Myers and Martin",T39292,30,available,2023-02-14,55934,8,7,9
171ec232-dee9-4e21-811d-3974fd44dac4,b7d22008-1a17-452d-a360-de5bbdbd773f,Carroll LLC,Y72061,30,available,2022-03-14,24331,6,10,10
338c8b6f-4843-4632-badc-7cfe5df35331,b7d22008-1a17-452d-a360-de5bbdbd773f,Hayes Ltd,E71551,30,available,2023-10-09,83543,9,9,9
85ef59cb-daa0-4f6e-8e2e-3e633f6eaba7,b7d22008-1a17-452d-a360-de5bbdbd773f,Howard-Burns,C97610,30,available,2023-11-14,13313,10,8,6
0d91edd5-dcf5-4af3-8216-6d70e4d58673,b7d22008-1a17-452d-a360-de5bbdbd773f,Rodriguez-Wilson,H64320,30,available,2021-03-01,76948,5,9,5
a0c88cba-933c-46f5-8c83-4682d489bdfe,b7d22008-1a17-452d-a360-de5bbdbd773f,Brown Inc,L54832,30,available,2021-09-21,89746,6,7,6
8516ee75-67f2-4058-83b5-1782538a8a3b,b7d22008-1a17-452d-a360-de5bbdbd773f,Norris-Long,Q91308,30,available,2024-07-05,35812,6,10,9
08ff2731-3640-4a8e-b80b-a3f42c7e1c8c,b7d22008-1a17-452d-a360-de5bbdbd773f,Atkinson-Brown,V70252,30,available,2020-04-14,11674,7,7,9
bce5e6a3-9ff2-4d43-a7ed-98875b37720c,b7d22008-1a17-452d-a360-de5bbdbd773f,Becker Group,U62990,30,available,2022-01-19,53776,9,6,10
86cb9926-86f6-48ba-92d9-abb011a153b1,b7d22008-1a17-452d-a360-de5bbdbd773f,"Lynch, Mayer and Grant",N03998,30,available,2024-06-30,75989,8,9,6
b79f5f7c-c8f7-4d49-8ce2-ac82b6d54a37,b7d22008-1a17-452d-a360-de5bbdbd773f,"Thomas, Stark and Contreras",A56764,30,available,2023-09-21,88260,6,6,5
a643edac-cc9c-451d-b102-883d7c1e96d2,b7d22008-1a17-452d-a360-de5bbdbd773f,"Cox, Gonzales and Fowler",W92142,30,available,2022-10-31,46776,6,10,7
42b3c3c3-f2bf-440e-8adf-debf949468a5,b7d22008-1a17-452d-a360-de5bbdbd773f,Weeks-Stevens,P80988,30,available,2023-03-02,28546,9,6,5
6751b2f4-751c-49e5-afb8-7ef6f7100bdd,b7d22008-1a17-452d-a360-de5bbdbd773f,Middleton and Sons,D72109,30,available,2020-10-06,80145,9,10,9
5fb8babd-d5d8-4bb1-bf01-fd9ccd6f4cf3,b7d22008-1a17-452d-a360-de5bbdbd773f,Wang LLC,Z27472,30,available,2020-09-26,62860,9,5,6
4a4b48e6-7269-4966-8460-b84e5e763728,b7d22008-1a17-452d-a360-de5bbdbd773f,"Morgan, Skinner and Todd",G21908,30,available,2021-01-24,89378,8,5,7
291736fa-9fd2-4e02-8193-75616ed6ac33,b7d22008-1a17-452d-a360-de5bbdbd773f,Taylor-Newton,Y74355,30,available,2023-05-27,53700,9,8,5
872e78ea-5121-47f9-b4a6-9e91b664c742,b7d22008-1a17-452d-a360-de5bbdbd773f,Murphy LLC,P31382,30,available,2019-11-10,89168,10,6,10
e96b1eae-631d-4d3f-8fd0-4aa1ba796471,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hancock, Graham and Anderson",Q61292,30,available,2021-09-05,79272,8,10,9
2eec0c34-cb26-43e3-9ded-ecb984724273,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hogan, Anderson and Fuentes",S29700,30,available,2021-04-07,10735,5,6,8
64bccb09-2908-45d9-ba70-4957bb8a6c6f,b7d22008-1a17-452d-a360-de5bbdbd773f,Wise-Adams,Q90285,30,available,2022-11-12,55936,6,9,7
e1c0e565-5c99-465f-9b4f-4551ba2f2d4f,b7d22008-1a17-452d-a360-de5bbdbd773f,Underwood and Sons,P30982,30,available,2021-03-16,82650,10,6,8
eafa79a6-9b18-4198-9558-fe6ccb8b264c,b7d22008-1a17-452d-a360-de5bbdbd773f,Coleman-Russell,P04452,30,available,2020-01-12,15766,7,8,7
f873721e-a5ec-4583-a7b8-a1bd7224145f,b7d22008-1a17-452d-a360-de5bbdbd773f,"Watson, Holder and Smith",S28888,30,available,2021-01-28,66305,10,5,6
6b9f08d2-3253-4f0a-82c2-cc73acf82cc8,b7d22008-1a17-452d-a360-de5bbdbd773f,Forbes LLC,G49803,30,available,2021-10-07,82794,9,6,5
282822dc-0cdf-466c-af7a-df38715093d7,b7d22008-1a17-452d-a360-de5bbdbd773f,Fleming and Sons,H69009,30,available,2019-11-18,56925,7,8,8
228afe0f-f45e-4dfb-be57-c74777a2b5ff,b7d22008-1a17-452d-a360-de5bbdbd773f,Wilson-Coleman,A76199,30,available,2020-08-07,25455,6,8,6
e8af60fe-1880-4c4a-804b-0e785a8d492c,b7d22008-1a17-452d-a360-de5bbdbd773f,"Woods, Mcpherson and Brown",N65369,30,available,2023-04-17,86531,6,9,5
0e3f10ae-2232-49f9-82f6-2ccf012bbf95,b7d22008-1a17-452d-a360-de5bbdbd773f,"Chavez, Guzman and Stark",H95671,30,available,2020-08-19,77436,6,10,7
56c3114f-6cc6-484f-8cdc-39c6c5d89772,b7d22008-1a17-452d-a360-de5bbdbd773f,Farley Inc,X07815,30,available,2021-07-31,93842,7,10,6
6e977dfd-d3e8-4efd-9eb6-8b9d5d98047b,b7d22008-1a17-452d-a360-de5bbdbd773f,"Jones, Cook and Rodriguez",D86212,30,available,2024-02-01,87112,10,9,10
a31607de-1972-4af2-9ac9-a4a0833569ad,b7d22008-1a17-452d-a360-de5bbdbd773f,Henry-Campbell,O50736,30,available,2020-11-29,36254,7,5,7
16d2e148-71f8-41b5-8e8a-796488f7b49a,b7d22008-1a17-452d-a360-de5bbdbd773f,Meyers-Edwards,R87641,30,available,2021-03-05,15636,8,10,9
fc55eccb-8fcb-4aee-8f0c-df2c70a35f0e,b7d22008-1a17-452d-a360-de5bbdbd773f,"Taylor, Castaneda and Jones",P71672,30,available,2022-08-31,12224,6,7,10
a973535c-21b6-452a-8c49-52fa386c457b,b7d22008-1a17-452d-a360-de5bbdbd773f,"Nichols, Collier and Joseph",R83736,30,available,2020-09-03,52363,8,7,9
1667e779-9ff3-4094-8dfc-1f67e8b84386,b7d22008-1a17-452d-a360-de5bbdbd773f,Reeves-Goodman,X69481,30,available,2022-08-19,84852,6,5,7
1ceb8e51-0c66-4e3e-913f-b37528b51868,b7d22008-1a17-452d-a360-de5bbdbd773f,Manning Inc,G48682,30,available,2021-06-19,41516,5,7,8
9cdd327d-ad13-4b6d-8675-171e5a8927d8,b7d22008-1a17-452d-a360-de5bbdbd773f,Vega Ltd,C07416,30,available,2020-07-25,39623,6,10,8
e891f850-ab2a-4960-8f8e-e910dedfd939,b7d22008-1a17-452d-a360-de5bbdbd773f,Holden-Guzman,I35842,30,available,2022-05-22,33535,7,8,5
5b050720-8312-4a7d-87fa-2adae4e958b7,b7d22008-1a17-452d-a360-de5bbdbd773f,"Sanchez, Hebert and Weiss",Z97302,30,available,2022-08-14,68887,8,9,10
bf25a617-af8f-45ba-b6e8-6558d9537f2d,b7d22008-1a17-452d-a360-de5bbdbd773f,"Sullivan, Ward and Carter",T49642,30,available,2022-12-29,84427,9,7,9
14a883bd-47d0-4cef-91e7-69ac54cc3ee2,b7d22008-1a17-452d-a360-de5bbdbd773f,Mcknight Inc,V19763,30,available,2023-03-02,56960,10,5,10
f128f207-d193-43f7-b8c0-13e3160701d7,b7d22008-1a17-452d-a360-de5bbdbd773f,Berry-Williams,J36781,30,available,2024-05-06,87581,10,8,8
4b1c5737-de43-467a-8db7-e66ade108a31,b7d22008-1a17-452d-a360-de5bbdbd773f,Whitney Group,J43902,30,available,2020-03-21,11935,10,5,5
cd3cfa0c-33b3-4181-b36c-ec5f8bf7eb57,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hays, Brown and Mcdaniel",B77517,30,available,2023-02-20,94865,6,10,10
2e05f84d-aab9-41dc-a7c5-7d7aa183410c,b7d22008-1a17-452d-a360-de5bbdbd773f,Hill Inc,X30443,30,available,2020-01-25,63236,7,6,5
aa3a8530-e1d6-4736-9ea3-4183000a48e5,b7d22008-1a17-452d-a360-de5bbdbd773f,Davis Ltd,R73537,30,available,2021-04-12,22622,8,5,7
2139c226-1dfa-4991-9641-b437ae34a3d5,b7d22008-1a17-452d-a360-de5bbdbd773f,"Munoz, Rodriguez and Taylor",D31034,30,available,2020-01-31,98717,10,6,6
f32ee364-3558-4e14-9aa4-19b3148ebb2b,b7d22008-1a17-452d-a360-de5bbdbd773f,Porter Inc,U03801,30,available,2023-02-12,90673,9,10,8
625a14bf-7176-40ba-9f04-0c20a2f2cecf,b7d22008-1a17-452d-a360-de5bbdbd773f,Nelson-Anderson,G22152,30,available,2020-06-14,33729,6,8,7
da98173c-a9a6-4daf-939c-c910185d9d0f,b7d22008-1a17-452d-a360-de5bbdbd773f,Mills LLC,Y84132,30,available,2021-04-04,62426,7,5,6
6e3bba12-9713-41fb-a805-52a94ef4d5c4,b7d22008-1a17-452d-a360-de5bbdbd773f,"Newman, Oconnor and Mcclure",Q86303,30,available,2021-12-18,58539,6,8,6
afd91920-4af9-43ec-93ad-2a27241772f0,b7d22008-1a17-452d-a360-de5bbdbd773f,Brewer LLC,L93867,30,available,2022-04-27,33572,10,5,6
c8f1a750-248d-491e-ad0f-40678eef6a17,b7d22008-1a17-452d-a360-de5bbdbd773f,Williams-Baldwin,E91792,30,available,2022-06-19,27693,6,6,5
7b33efb1-83f3-4073-8ded-d2fab8d2001d,b7d22008-1a17-452d-a360-de5bbdbd773f,"Reynolds, Martin and Allen",B95783,30,available,2021-07-16,92751,9,6,9
efb778f9-d910-43b5-a841-fd0e3dd93d41,b7d22008-1a17-452d-a360-de5bbdbd773f,"Adams, Williams and Cantu",O94071,30,available,2021-08-18,94232,8,5,9
133a563e-b95a-48bd-9ba0-73f9dbafc56f,b7d22008-1a17-452d-a360-de5bbdbd773f,Nicholson PLC,Q37319,30,available,2022-08-22,38682,9,6,9
59ed363c-8ef4-4b83-b41b-706af5a85834,b7d22008-1a17-452d-a360-de5bbdbd773f,Ayala-Casey,B82134,30,available,2023-12-05,89496,5,6,9
8536cedb-ab20-4833-b103-6dd1b1c21b4c,b7d22008-1a17-452d-a360-de5bbdbd773f,Nelson and Sons,A20658,30,available,2020-03-26,67361,5,5,10
620cde1f-6762-49fd-8987-c3fb9ff64981,b7d22008-1a17-452d-a360-de5bbdbd773f,"Garner, Green and Villanueva",W14805,30,available,2023-11-25,63297,5,7,5
cad6f7ef-3446-4465-b7bb-3e257618fb11,b7d22008-1a17-452d-a360-de5bbdbd773f,Carpenter-Cabrera,G91403,30,available,2023-08-19,12599,9,8,9
edaf9e65-0a51-4206-a86c-0eec841da214,b7d22008-1a17-452d-a360-de5bbdbd773f,Kramer-Thompson,X42400,30,available,2021-05-26,68712,6,8,5
501138f5-7471-4950-8dc0-3b0ebcdd5d92,b7d22008-1a17-452d-a360-de5bbdbd773f,"Duncan, Johnson and Santana",K20067,30,available,2022-12-17,83878,10,6,8
47abc5ae-c4d9-41e7-81f2-36820651a814,b7d22008-1a17-452d-a360-de5bbdbd773f,Decker LLC,S44367,30,available,2020-02-11,18126,5,8,10
1a00eb28-f14b-4991-af3c-3346750734f1,b7d22008-1a17-452d-a360-de5bbdbd773f,"Brown, Rice and Atkinson",W34420,30,available,2021-08-04,70133,9,8,5
90623d06-a3a9-4444-b8d4-7a27a885a965,b7d22008-1a17-452d-a360-de5bbdbd773f,"Porter, Ramirez and James",M37179,30,available,2023-01-19,11632,8,5,9
ebf4a2a0-74d3-4cf3-9ee3-e6f97fc33a75,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hodges, Williams and Mathis",T26754,30,available,2020-02-08,24655,5,10,6
2af4a011-edb2-4fe8-bda2-5da94a9fa1a4,b7d22008-1a17-452d-a360-de5bbdbd773f,"Mejia, Wells and Day",K79778,30,available,2024-01-05,93992,6,6,7
16fbefe6-155a-40de-8ebd-eef9dfe4aa64,b7d22008-1a17-452d-a360-de5bbdbd773f,Peck-Martin,O02235,30,available,2020-08-11,93444,6,6,5
bb3ff3e1-4889-468b-a7f5-75f3a3602da2,b7d22008-1a17-452d-a360-de5bbdbd773f,"Santiago, Villarreal and Pitts",A57592,30,available,2024-02-26,54676,10,10,10
bbcca995-e845-4beb-80c5-55cf58c6dbd4,b7d22008-1a17-452d-a360-de5bbdbd773f,Lopez LLC,G36863,30,available,2022-11-23,29368,9,5,6
c6e194f7-943a-41c9-956d-dd561e96537a,b7d22008-1a17-452d-a360-de5bbdbd773f,"Brown, Singleton and Walker",Q69428,30,available,2022-09-04,61734,5,5,10
aa37b0f0-fd55-4a9a-a896-08501369276f,b7d22008-1a17-452d-a360-de5bbdbd773f,George-May,E15212,30,available,2024-01-21,19636,8,6,10
9056c249-d9f4-44c4-bd41-ab735e2a50db,b7d22008-1a17-452d-a360-de5bbdbd773f,Reyes Ltd,H73439,30,available,2022-07-04,17251,8,9,8
c586219a-bd6a-4c12-bbbb-60dceaeb22d7,b7d22008-1a17-452d-a360-de5bbdbd773f,Mendez LLC,D47531,30,available,2022-11-19,78736,5,10,10
0b7f6bab-ab21-4670-9d6a-203772b9ac17,b7d22008-1a17-452d-a360-de5bbdbd773f,Neal PLC,F26378,30,available,2021-04-10,44822,10,7,6
76119613-f2da-4e8e-b6dc-cb9e2d692413,b7d22008-1a17-452d-a360-de5bbdbd773f,White-Gilbert,W48071,30,available,2022-01-22,35828,8,8,6
7359cdcb-01e1-45ec-8c06-e362f772ba64,b7d22008-1a17-452d-a360-de5bbdbd773f,"Hernandez, Cruz and Miller",R95149,30,available,2022-01-21,36940,6,7,7
f6e36f5c-45a4-4497-8e39-694d071ced5d,b7d22008-1a17-452d-a360-de5bbdbd773f,Stevens-Davies,E00305,30,available,2019-11-09,89833,8,8,8
